iter	Passed	Remaining
0	1	164
1	3	175
2	5	166
3	6	161
4	8	158
5	9	153
6	11	150
7	12	146
8	14	143
9	15	141
10	17	139
11	18	137
12	20	135
13	21	134
14	23	133
15	25	131
16	26	129
17	28	128
18	29	127
19	31	124
20	33	124
21	34	122
22	36	121
23	37	119
24	39	117
25	40	115
26	41	113
27	43	111
28	45	110
29	47	109
30	49	109
31	50	107
32	52	106
33	53	104
34	55	103
35	57	101
36	59	100
37	60	98
38	62	96
39	63	95
40	64	93
41	66	91
42	68	90
43	69	88
44	70	86
45	72	85
46	74	83
47	75	81
48	76	80
49	78	78
50	79	76
51	81	75
52	82	73
53	84	71
54	85	70
55	87	68
56	89	67
57	90	65
58	92	64
59	94	62
60	95	61
61	97	59
62	98	58
63	100	56
64	101	54
65	103	53
66	104	51
67	106	49
68	107	48
69	108	46
70	110	45
71	111	43
72	113	41
73	114	40
74	115	38
75	117	37
76	119	35
77	120	34
78	121	32
79	122	30
80	124	29
81	126	27
82	127	26
83	129	24
84	131	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	140	13
91	142	12
92	143	10
93	145	9
94	146	7
95	148	6
96	149	4
97	151	3
98	152	1
99	154	0
